3,01.03.2020 15:15:24 UTC+05:00,The Balochistan Post,,,http://thebalochistanpost.com/2020/03/%da%88%db%8c%d8%b1%db%81-%d9%85%d8%b1%d8%a7%d8%af-%d8%ac%d9%85%d8%a7%d9%84%db%8c-%d8%b2%db%8c%d8%b1-%d8%aa%d8%b9%d9%85%db%8c%d8%b1-%d9%be%d9%84-%da%a9%db%92-%d9%82%d8%b1%db%8c%d8%a8-%d8%af%da%be/
4,01.03.2020 15:23:57 UTC+05:00,The Balochistan Post,,,http://thebalochistanpost.com/2020/03/%d8%a7%d8%b3%d9%86%d8%a7%d8%a6%d9%be%d8%b1-%d8%ad%d9%85%d9%84%db%92-%d9%85%db%8c%da%ba-%d9%81%d9%88%d8%ac%db%8c-%d8%a7%db%81%d9%84%da%a9%d8%a7%d8%b1-%da%a9%d9%88-%db%81%d9%84%d8%a7%da%a9-%da%a9-2/
5,01.03.2020 15:54:29 UTC+05:00,The Balochistan Post,,,http://thebalochistanpost.com/2020/03/%d9%84%d8%a7%da%86%d8%a7%d8%b1%db%8c-%d9%85%d8%b1%d8%a7%d8%af-%d8%a8%d9%84%d9%88%da%86/
6,01.03.2020 17:32:46 UTC+05:00,The Balochistan Post,,,کرونا وائرس نے ثابت کردیا کہ زندہ قومیں ایسے مشکل بحرانات سے کس طرح نمٹتے ہیں۔۔۔ ٹریلین ڈالرز اور معیشتوں کی بربادی سے زیادہ اہم وہ ایک جان ہے، جو اس ملک کا شہری ہے۔\n\nلیکن ہم آج اس گلوبل ویلیج میں ایک الگ تھلگ جزیرہ لگتے ہیں۔ جہاں جان کی کوئی اہمیت نہیں۔۔ حکمران بظاہر پارسا، با ریش ہیں، لیکن باطن میں بے حس، بے ضمیر، انسانیت کے شرف سے گرے ہیں۔ بظاہر وہ اللہ اور اس کی وحدانیت پر یقین رکھتے ہیں، لیکن یہ اپنے رب کی جگہ دولت کی پوجا کرتے ہیں، انہوں نے اقتدار کو اپنا دین و ایمان بنا دیا ہے، یہ خدا کی وحدانیت کی بجائے کچھ طاقتور تنخواہ دار افسروں کے ہاں سر بسجود ہیں۔۔ وہ دولت کی پوجا کرکے شرک کے متبرک ہورہے ہیں۔\n\nمزید پڑھنے کیلئے لنک پہ کلک کریں:\n\nhttp://thebalochistanpost.com/2020/03/54478/
7,01.03.2020 18:14:07 UTC+05:00,The Balochistan Post,,,اے جیڑگی گپے بلوچی دود ءُ ربیدگ ءِ روچ ءَ ھما مردُم دارگ ءَ اَنت کہ بلوچ ءِ ھچ ءَ سرپد نہ اَنت،بلوچ ءَ را وڑ وڑیں سِلیں نادراھیاں گِتگ چو ساہ دار ءَ مِرگ ءَ اَنت ،آ شُومک بِہ بیت یا دگہ سِلین نادراھی یے بہ بنت.\nبلوچانی زُبان گار ءُ بیگْواہ بیگ ءَ اِنت اگاں بلوچ ءَ را تو گپ بہ پرما آئی چار گپ اردو، سے گپ انگریزی، دو گپ اربی ءُ پاسی بس گُڈسر ءَ اَنت ءُ اِنت پشت کَپ اَنت، بلوچانی وانگی بزاں کتاب وانگجاھاں وانینگ نہ بیگ ءَ اِنت ناں کہ بلوچ ءَ را موکل ھست کہ بلوچی کتاب بُوان اِیت اگاں کسے ءَ بلوچی ونت یا وَ کُشگ بیت یا گار کنگ بیت ءُ بلوچانی نبشتہ کُتگیں وانگیاں ءَ موکواں تند بستگ یا وَ رمیزان گِتگ اَنت، پمیشکا بلوچ بلوچی وانگ ءَ پہ وت اَیبے سرپد بنت یا بے پایدگ سرپد بنت ۔\n\nhttp://thebalochistanpost.com/2020/03/%d8%a8%d9%84%d9%88%da%86%db%8c-%d8%af%d9%88%d8%af-%d8%a1%d9%8f-%d8%b1%d8%a8%db%8c%d8%af%da%af-%d8%a1%d9%90-%d8%b1%d9%88%da%86-%d8%a1%d9%8f-%d9%85%d8%a7-%d8%a8%d9%84%d9%88%da%86-%d8%af%d8%a7%d8%af/
8,01.03.2020 18:41:45 UTC+05:00,The Balochistan Post,,,http://thebalochistanpost.com/2020/03/%d8%ae%d8%a7%d8%b1%d8%a7%d9%86-%d9%85%db%8c%da%ba-%d9%85%d9%86%d8%b4%db%8c%d8%a7%d8%aa-%d9%81%d8%b1%d9%88%d8%b4%db%8c-%d8%a7%d9%88%d8%b1-%d8%b3%d9%85%db%8c%d8%b9-%d9%85%db%8c%d9%86%da%af%d9%84-%da%a9/
9,01.03.2020 19:24:33 UTC+05:00,The Balochistan Post,,,http://thebalochistanpost.com/2020/03/%d8%af%d9%88-%d9%85%d8%a7%d8%b1%da%86-%d8%a1%d9%8f-%d8%b3%d8%b1%da%a9%d8%a7%d8%b1-%d8%a1%d9%90-%d9%be%d9%86%d8%af%d9%84-%d8%b4%db%8c%d8%b1%d8%af%d9%84-%d8%a8%d9%84%d9%88%da%86/
10,01.03.2020 19:31:03 UTC+05:00,The Balochistan Post,,,http://thebalochistanpost.com/2020/03/%da%a9%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b3%db%92-%d9%85%d8%aa%d8%a7%d8%ab%d8%b1%db%81-%d8
11,01.03.2020 19:44:50 UTC+05:00,The Balochistan Post,,,http://thebalochistanpost.com/2020/03/%d9%be%d9%86%d8%ac%da%af%d9%88%d8%b1-%d8%b3%db%8c-%d9%be%db%8c%da%a9-%d8%b1%d9%88%d9%b9-%d9%be%d8%b1-%d9%81%d9%88%d8%b1%d8%b3%d8%b2-%d9%be%d8%b1-%d8%ad%d9%85%d9%84%db%81-2/
12,01.03.2020 19:49:10 UTC+05:00,The Balochistan Post,,,http://thebalochistanpost.com/2020/03/%da%a9%db%8c%da%86-%d8%ad%d9%85%d9%84%db%92-%d9%85%db%8c%da%ba-%d9%81%d9%88%d8%b1%d8%b3%d8%b2-%da%a9%db%92-%d8%aa%db%8c%d9%86-%d8%a7%db%81%d9%84%da%a9%d8%a7%d8%b1-%db%81%d9%84%d8%a7%da%a9-%da%a9-2/
