3,10.08.2019 11:45:50,Elitepredators,,,Welcome to our space of exclusive informations.
4,10.08.2019 11:59:26,Elitepredators,,,China backed off and said fuck off bro when Pakistan ask for help on Kashmir issue 🇮🇳
5,10.08.2019 12:12:35,Elitepredators,,,[Video file]
6,10.08.2019 13:08:59,Elitepredators,,,Pakistanis mobilizing troops on border. Infiltration possibilities are very high. They will start violation of ceasefire can start anytime to support infiltration.
7,10.08.2019 19:10:40,Elitepredators,,,[Video file]
8,10.08.2019 19:11:19,Elitepredators,,,"Straight from Kashmir, situation is getting normal but security forces are on maximum alert."
9,10.08.2019 21:12:33,Elitepredators,,,"You wann see the most real face of ""Gand fat ke hath me aa jana"" --- Rasheed engineer bagged NIA interrogators  to give him a chance to help Gov in restoring peace in Kashmir. He even asked for help from a top army commander 😂"
10,10.08.2019 21:18:01,Elitepredators,,,Btw he is the guy who has charges of funding terrorist activities in kashmiri.
11,13.08.2019 05:32:26,Elitepredators,,,[Video file]
12,17.08.2019 10:16:45,Elitepredators,,,Something happened and we did it. wait for details
13,22.08.2019 00:13:52,Elitepredators,,,4 Para killed those 6 BAT guys
14,14.09.2019 00:17:19,Elitepredators,,,Possibility of coup in Pakistan
15,14.09.2019 20:56:33,Elitepredators,,,After Pakistan voilate ceasefire by firing an ATGM which exploded 300 meters before an Indian post. After that Indian Army took the shit outta their arses 🤣
16,07.05.2020 22:56:04,Elitepredators,,,[Photo]
17,07.05.2020 22:56:37,Elitepredators,,,[Photo]
18,07.05.2020 22:56:52,Elitepredators,,,[Photo]
19,07.05.2020 22:57:51,Elitepredators,,,[Photo]
20,07.05.2020 23:24:23,Elitepredators,,,"Ye group chat bnaya hu, Naikoo special join karlo sb."
21,07.05.2020 23:45:54,Elitepredators,,,[Photo]
22,08.05.2020 00:26:24,Elitepredators,,,[Photo]
23,08.05.2020 00:27:40,Elitepredators,,,[Video file]
24,08.05.2020 09:46:38,Elitepredators,,,All 6 dead in yesterday firing by Indian Army were Pakistani soldiers. Pakistan covered their martyrdom as civilian deaths.
25,08.05.2020 09:47:15,Elitepredators,,,Several Forward Posts of Pakistan are now empty and they have fall back to civilians areas to hide and save their asses.
26,08.05.2020 09:47:56,Elitepredators,,,Reports suggest that civilians were spotted on forward posts. Indian army is keeping eye on every movement with cutting edge technology and tactics.
27,08.05.2020 10:26:11,Elitepredators,,,[Video file]
28,08.05.2020 11:53:30,Elitepredators,,,[Video file]
29,08.05.2020 11:56:25,Elitepredators,,,[Photo]
30,08.05.2020 14:11:24,Elitepredators,,,[Photo]
31,08.05.2020 18:38:31,Elitepredators,,,[Photo]
32,08.05.2020 18:39:04,Elitepredators,,,[Photo]
33,08.05.2020 19:08:42,Elitepredators,,,"7 pakistank dead today including 1 officer, all killed by Baloch"
34,08.05.2020 19:09:41,Elitepredators,,,[Photo]
35,09.05.2020 12:47:15,Elitepredators,,,Inputs : Major Nadeem K!lled yesterday by Baloch fighters was \n》Protecting Drug syndicate & arming them against Frdm fghtrs\n》Formed dth squads against Civillians to act as PA proxy\n》Use to drag fighters tied behind jeep\n》Multiple reports of women Harassment \n#FreeBalochistan\n\nVia - Megh Updates
36,09.05.2020 12:48:15,Elitepredators,,,[Photo]
37,09.05.2020 12:52:57,Elitepredators,,,[Photo]
38,09.05.2020 12:53:00,Elitepredators,,,Suicide by pak Soldier
39,10.05.2020 22:36:20,Elitepredators,,,[Photo]
40,11.05.2020 13:50:14,Elitepredators,,,[Photo]
41,11.05.2020 22:12:37,Elitepredators,,,[Photo]
42,11.05.2020 22:59:13,Elitepredators,,,[Photo]
43,15.05.2020 17:11:33,Elitepredators,,,"NIA arrests the key conspirator in the Visakhapatnam  Espionage Case, Mohammed Haroon Haji Abdul Rehman Lakdawala (49 years) in Mumbai. \nCase relates to an international espionage racket involving Navy officials and individuals based in Pakistan and at difft locations in India."
44,20.05.2020 11:12:55,Elitepredators,,,HM LEADERSHIP WIPED OUT FROM VALLEY COMPLETELY
46,23.05.2020 10:21:32,Elitepredators,,,[Photo]
47,24.05.2020 09:37:52,Elitepredators,,,Budgam Police and Indian Army's 53RR has arrested a top LeT terror associate Wasim Ganie of Beerwah along with 3 over ground workers. This group was involved in providing shelter and logistic support to terrorists in the area: Jammu and Kashmir Police
48,24.05.2020 09:38:35,Elitepredators,,,[Photo]
49,24.05.2020 10:52:24,Elitepredators,,,"LAC pe apne bande badiya kar rahe hai, koi fake news pe dhyan mat dena. Chinese deployment huyi thi uske response me kaafi troops apne bhi deploy kiye gaye hai. Baaki ki information kuch solid aaega tab update kar dunga.. abhi fizul me kuch bhi update karne ka koi fayda nahi hai qki solid info nahi aa rahi"
50,24.05.2020 10:54:28,Elitepredators,,,Btw
